Unnamed: 0,hhid,intmonth,stfips,weight,earnwke,uhours,grade92,race,ethnic,age,sex,marital,ownchild,chldpres,prcitshp,state,ind02,occ2012,class,unionmme,unioncov,lfsr94,sample,female,w,lnw,agesq
89,130003560100156,January,AL,3296.7986,2884.61,60,45,1,,47,1,1,2,10,"Native, Born In US",63,Offices of physicians (6211),3060,"Private, For Profit",No,No,Employed-At Work,1.0,False,48.07683333333333,3.8728004256064557,2209
702,700409931145569,January,AZ,4457.2145,1442.0,60,46,4,,57,1,1,3,5,"Native, Born In US",86,Hospitals (622),3060,"Private, For Profit",No,Yes,Employed-At Work,1.0,False,24.033333333333335,3.179441755622794,3249
703,700409931145569,January,AZ,3939.9377,1730.0,60,46,4,,39,2,1,3,5,"Native, Born In US",86,Hospitals (622),3060,"Private, For Profit",No,Yes,Employed-At Work,1.0,True,28.833333333333332,3.361532125269724,1521
777,140328063906491,January,AZ,3999.9218,2884.61,50,46,1,,41,2,1,3,3,"Native, Born In US",86,Hospitals (622),3060,"Private, For Profit",No,No,Employed-At Work,1.0,True,57.6922,4.0551219824004106,1681
1210,23408025621,January,CA,3459.5845,2884.61,80,45,1,,36,1,7,0,0,"Foreign Born, Not a US Citizen",93,Hospitals (622),3060,Government - State,No,No,Employed-At Work,1.0,False,36.057625,3.585118353154675,1296
1320,58056202030650,January,CA,2889.1284,2884.61,50,45,1,8.0,34,2,1,0,0,"Native, Born Abroad Of US Parent(s)",93,Hospitals (622),3060,"Private, For Profit",No,No,Employed-At Work,1.0,True,57.6922,4.0551219824004106,1156
1321,58056202030650,January,CA,3117.6833,2884.61,50,45,1,,34,1,1,0,0,"Native, Born In US",93,Hospitals (622),3060,"Private, For Profit",No,No,Employed-At Work,1.0,False,57.6922,4.0551219824004106,1156
1568,256080630550002,January,CA,3117.6833,1095.0,60,45,1,,32,1,7,0,0,"Foreign Born, US Cit By Naturalization",93,Hospitals (622),3060,"Private, For Profit",No,No,Employed-At Work,1.0,False,18.25,2.9041650800285006,1024
1746,460461092603949,January,CA,3287.91,961.53,40,45,4,,30,2,1,0,0,"Foreign Born, US Cit By Naturalization",93,Hospitals (622),3060,"Private, Nonprofit",No,No,Employed-At Work,1.0,True,24.038249999999998,3.179646311676199,900
3351,59860360946296,January,CA,3157.4572,2884.61,45,45,4,,44,2,1,0,0,"Native, Born In US",93,Outpatient care centers (6214),3060,"Private, Nonprofit",No,No,Employed-At Work,1.0,True,64.10244444444444,4.1604824980582364,1936
3657,899030996100730,January,CO,1608.3753,961.53,60,45,1,,29,1,1,0,0,"Native, Born In US",84,Hospitals (622),3060,Government - State,No,Yes,Employed-At Work,1.0,False,16.0255,2.774181203568035,841
3658,899030996100730,January,CO,1695.1633,1000.0,60,45,1,,28,2,1,0,0,"Native, Born In US",84,Hospitals (622),3060,Government - State,No,No,Employed-At Work,1.0,True,16.666666666666668,2.8134107167600364,784
3949,180328053001112,January,CO,1528.7532,2500.0,40,46,1,,61,1,1,0,0,"Native, Born In US",84,Outpatient care centers (6214),3060,"Private, For Profit",No,No,Employed-At Work,1.0,False,62.5,4.135166556742356,3721
4157,235074449900803,January,CT,1383.0328,576.92,70,46,1,,34,1,1,1,1,"Native, Born In US",CT,Offices of physicians (6211),3060,"Private, Nonprofit",No,No,Employed-At Work,1.0,False,8.241714285714286,2.1092083666659507,1156
4740,950449670506104,January,DE,453.5646,680.0,40,45,1,,39,1,7,0,0,"Native, Born In US",51,Hospitals (622),3060,"Private, For Profit",No,No,Employed-At Work,1.0,False,17.0,2.833213344056216,1521
5488,108083406070201,January,FL,4166.7067,2884.61,40,45,4,,49,1,5,0,0,"Foreign Born, US Cit By Naturalization",59,Administration of human resource programs (923),3060,Government - Federal,No,No,Employed-At Work,1.0,False,72.11525,4.27826553371462,2401
6467,960072921179820,January,FL,3748.2855,2884.61,50,46,1,,52,2,1,1,4,"Native, Born In US",59,Offices of physicians (6211),3060,"Private, For Profit",No,No,Employed-At Work,1.0,True,57.6922,4.0551219824004106,2704
6721,690131008413130,January,GA,3902.3507,1028.0,40,44,2,,23,2,5,0,0,"Native, Born In US",58,Hospitals (622),3060,"Private, Nonprofit",No,No,Employed-At Work,1.0,True,25.7,3.246490991901174,529
7591,193977800093618,January,ID,1073.6082,807.0,40,46,1,,56,1,1,0,0,"Native, Born In US",82,Hospitals (622),3060,"Private, Nonprofit",No,No,Employed-At Work,1.0,False,20.175,3.0044442141560124,3136
7867,607900911599037,January,IL,2943.2824,2884.61,40,46,1,,34,2,1,2,2,"Native, Born In US",IL,Offices of physicians (6211),3060,"Private, Nonprofit",No,No,Employed-At Work,1.0,True,72.11525,4.27826553371462,1156
7883,710709903091956,January,IL,2831.9984,1826.0,40,46,1,,53,2,5,0,0,"Native, Born In US",IL,Offices of physicians (6211),3060,"Private, Nonprofit",No,No,Employed-At Work,1.0,True,45.65,3.8210036070409776,2809
8639,718569130579105,January,IN,3476.42,807.0,60,45,1,,30,1,1,1,1,"Native, Born In US",IN,"Colleges and universities, including junior colleges (6112, 6113)",3060,"Private, For Profit",No,No,Employed-At Work,1.0,False,13.45,2.598979106047848,900
